"Story","Title","Result","Date","Stability","Duration (s)"
"I want to search for a customer","I want to search for a customer using various search criteria","SUCCESS","2021-07-21T12:56:10.447-04:00[America/New_York]","0.0","87.7"
"I want to search for a customer","I want a response when no products are associated with my search","SUCCESS","2021-07-21T12:57:38.167-04:00[America/New_York]","0.0","82.72"
